S1,2015-3-3 10:51:32.965,2015-3-3 10:51:38.733,1,awn_yes
S1,2015-3-3 10:51:40.141,2015-3-3 10:51:45.358,2,awn_no
S1,2015-3-3 10:51:46.125,2015-3-3 10:51:50.999,3,awn_no
S1,2015-3-3 10:51:51.861,2015-3-3 10:52:3.38,4,awn_no
S1,2015-3-3 10:52:4.316,2015-3-3 10:52:9.902,5,awn_yes
S1,2015-3-3 10:52:11.149,2015-3-3 10:52:16.896,6,awn_yes
S1,2015-3-3 10:52:17.765,2015-3-3 10:52:22.838,7,awn_no
S1,2015-3-3 10:52:23.700,2015-3-3 10:52:28.533,8,awn_yes
S1,2015-3-3 10:52:29.198,2015-3-3 10:52:34.238,9,awn_no
S1,2015-3-3 10:52:34.972,2015-3-3 10:52:39.871,10,awn_yes
S1,2015-3-3 10:52:40.996,2015-3-3 10:52:45.974,11,awn_no
S1,2015-3-3 10:52:46.703,2015-3-3 10:52:54.621,12,awn_yes
S1,2015-3-3 10:52:55.460,2015-3-3 10:53:0.541,13,awn_yes
S1,2015-3-3 10:53:1.308,2015-3-3 10:53:6.781,14,awn_no
S1,2015-3-3 10:53:7.484,2015-3-3 10:53:13.573,15,awn_no
S1,2015-3-3 10:53:14.452,2015-3-3 10:53:21.653,16,awn_notsure
S1,2015-3-3 10:53:25.724,2015-3-3 10:53:30.565,17,awn_no
S1,2015-3-3 10:53:31.260,2015-3-3 10:53:36.172,18,awn_no
S1,2015-3-3 10:53:37.380,2015-3-3 10:53:42.382,19,awn_no
S1,2015-3-3 10:53:43.93,2015-3-3 10:53:51.573,20,awn_no
