1434672805.54 	Participante: pero no puede poner una palabra más o menos así	1
1434672808.54 	Pcd: Pos ya formó perro, mire, que no ve?	1
1434672812.54 	Participante: Pero ahora usted	1
1434672813.54 	Pcd: No pos ya	1
1434672814.54 	Pcd: ésta  	1
1434672814.54 	Participante: Incomprensible	1
1434672815.54 	Pcd: Ésta yo la formé, ésta no la formó uste	1
1434672817.54 	Pcd: Porque yo quiero mis perros 	1
1434672819.54 	Participante: A bueno	1
1434672820.54 	Participante: Ahora otra 	1
1434672824.54 	Pcd: Otra nooo, pos ya no se cual 	1
1434672826.54 	Participante: Pues ahorita le inventa, a ver cual se le ocurre	1
1434672838.54 	Pcd: A mí me duele la cabeza, ¿Y a uste?	2
1434672841.54 	Participante: Pues a mí no 	2
1434672843.54 	 Pcd: Se ve cara de enfermo	2
1434672844.54 	Pcd: Uste está enfermo	2
1434672846.54 	 Participante:Nooo,	2
1434672847.54 	Pcd: Sí	2
1434672848.54 	 Participante no que yo sepa	2
1434672849.54 	 Pcd: Sí, sí porque uste está enfermo	2
1434672851.54 	Pcd:  No sabe escribir, de que le sirve es, estar en la escuela	2
1434672857.54 	Participante Mmmmm	2
1434672863.54 	Pcd:  A ver	2
1434672866.54 	Pcd: Dígame de que le sirve , yo, yo si aprtendí bastante en la escuela	2
1434672871.54 	Participante ¿Así?	2
1434672872.54 	Pcd: Sí	2
1434672877.54 	Pcd:Y uste no sabe mire, me deja que haga todo yo	1
1434672882.54 	Participante  Pues es pa jugar 	1
1434672884.54 	Pcd: Pero pues uste debe hacer una 	1
1434672887.54 	Participante: Síii	1
1434672888.54 	Pcd: Noooo, no quiero irme ya, yo ya me voy	3
1434672891.54 	Participante: Pero todavía quedan muchas de éstas para hacer más palabras	3
1434672894.54 	Pcd:  No pero yo ya no quiero hacer tantas 	3
1434672896.54 	Pcd:  Ya hice tres 	3
1434672898.54 	Participante Aaaaaa	3
1434672898.54 	Pcd: Mire el, el otro muchacho si me entendía	3
1434672903.54 	 Pcd: Uste no me entiende 	3
1434672905.54 	Participante Noo, ¿Por qué no?	3
1434672906.54 	Pcd: Porque no quiere ser uste, nomás quiere que yo haga 	3
1434672909.54 	Participante: A bueno a ver vamos hecer otra... vamosa ver (incomprensible)	3
