1432166090.799,63.0,7.0,17.0
1432166090.83,72.0,9.0,15.0
1432166090.861,69.0,13.0,18.0
1432166090.892,69.0,14.0,18.0
1432166090.924,76.0,15.0,14.0
1432166090.955,75.0,15.0,10.0
1432166090.986,68.0,13.0,12.0
1432166091.017,63.0,33.0,26.0
1432166091.049,73.0,63.0,41.0
1432166091.08,67.0,72.0,48.0
1432166091.111,67.0,77.0,66.0
1432166091.142,57.0,71.0,69.0
1432166091.174,41.0,70.0,47.0
1432166091.205,44.0,52.0,36.0
1432166091.236,39.0,46.0,35.0
1432166091.267,32.0,47.0,29.0
1432166091.299,29.0,45.0,25.0
1432166091.33,28.0,39.0,23.0
1432166091.361,25.0,33.0,29.0
1432166091.392,27.0,35.0,30.0
1432166091.424,33.0,30.0,32.0
1432166091.455,32.0,26.0,29.0
1432166091.486,30.0,16.0,25.0
1432166091.518,29.0,-6.0,17.0
1432166091.549,38.0,40.0,34.0
1432166091.58,38.0,25.0,48.0
1432166091.611,34.0,28.0,41.0
1432166091.642,8.0,76.0,65.0
1432166091.674,6.0,60.0,65.0
1432166091.705,8.0,25.0,54.0
1432166091.736,8.0,41.0,58.0
1432166091.768,18.0,35.0,62.0
1432166091.799,11.0,48.0,55.0
1432166091.83,8.0,45.0,51.0
1432166091.861,12.0,9.0,60.0
1432166091.893,13.0,63.0,43.0
1432166091.924,17.0,73.0,25.0
1432166091.955,21.0,37.0,42.0
1432166091.986,18.0,32.0,39.0
1432166092.018,21.0,33.0,28.0
1432166092.049,24.0,10.0,8.0
1432166092.08,23.0,11.0,20.0
1432166092.111,30.0,44.0,35.0
1432166092.143,28.0,46.0,35.0
1432166092.174,27.0,40.0,44.0
1432166092.205,23.0,37.0,62.0
1432166092.236,20.0,43.0,54.0
1432166092.268,23.0,54.0,48.0
1432166092.299,26.0,56.0,46.0
1432166092.33,31.0,55.0,56.0
1432166092.361,31.0,45.0,61.0
1432166092.393,23.0,11.0,49.0
1432166092.424,28.0,-9.0,45.0
1432166092.455,59.0,-10.0,54.0
1432166092.486,68.0,49.0,56.0
1432166092.518,78.0,84.0,64.0
1432166092.549,74.0,27.0,34.0
1432166092.58,101.0,37.0,47.0
1432166092.611,73.0,34.0,31.0
1432166092.643,50.0,34.0,24.0
1432166092.674,39.0,46.0,30.0
1432166092.705,35.0,38.0,24.0
1432166092.736,34.0,15.0,14.0
1432166092.768,34.0,5.0,10.0
1432166092.799,36.0,1.0,7.0
1432166092.83,46.0,9.0,12.0
1432166092.861,53.0,12.0,18.0
1432166092.893,52.0,7.0,25.0
1432166092.924,49.0,4.0,20.0
1432166092.955,51.0,4.0,19.0
1432166092.986,55.0,1.0,15.0
1432166093.018,65.0,2.0,23.0
1432166093.049,68.0,4.0,28.0
1432166093.08,62.0,9.0,29.0
1432166093.111,62.0,11.0,29.0
1432166093.143,69.0,15.0,26.0
1432166093.174,66.0,17.0,22.0
1432166093.205,59.0,16.0,20.0
1432166093.236,44.0,13.0,17.0
1432166093.268,68.0,11.0,11.0
1432166093.299,83.0,11.0,8.0
1432166093.33,84.0,13.0,7.0
1432166093.361,68.0,18.0,0.0
1432166093.393,63.0,16.0,0.0
1432166093.424,59.0,10.0,7.0
1432166093.455,61.0,9.0,8.0
1432166093.486,63.0,12.0,5.0
1432166093.518,65.0,13.0,2.0
1432166093.549,63.0,12.0,2.0
1432166093.58,62.0,10.0,4.0
1432166093.611,65.0,10.0,4.0
1432166093.643,65.0,10.0,4.0
1432166093.674,58.0,6.0,6.0
1432166093.705,63.0,3.0,17.0
1432166093.736,69.0,8.0,26.0
1432166093.768,66.0,4.0,31.0
1432166093.799,63.0,-16.0,35.0
1432166093.83,57.0,-28.0,34.0
1432166093.861,54.0,-7.0,23.0
1432166093.893,52.0,-1.0,20.0
1432166093.924,49.0,7.0,16.0
1432166093.955,48.0,10.0,18.0
1432166093.986,48.0,9.0,18.0
1432166094.018,49.0,6.0,20.0
1432166094.049,52.0,3.0,32.0
1432166094.08,54.0,4.0,37.0
1432166094.111,57.0,9.0,34.0
1432166094.143,56.0,11.0,33.0
1432166094.174,56.0,15.0,36.0
1432166094.205,57.0,25.0,40.0
1432166094.236,59.0,30.0,42.0
1432166094.268,54.0,29.0,42.0
1432166094.299,48.0,33.0,41.0
1432166094.33,45.0,37.0,41.0
1432166094.361,44.0,48.0,41.0
1432166094.393,41.0,53.0,39.0
1432166094.424,40.0,57.0,36.0
1432166094.455,39.0,64.0,36.0
1432166094.486,38.0,55.0,40.0
1432166094.518,29.0,57.0,39.0
1432166094.549,15.0,53.0,36.0
1432166094.58,11.0,59.0,36.0
1432166094.611,5.0,50.0,38.0
1432166094.643,-4.0,41.0,36.0
1432166094.674,-8.0,44.0,29.0
1432166094.705,-13.0,34.0,38.0
1432166094.736,-12.0,41.0,42.0
1432166094.768,-8.0,38.0,42.0
1432166094.799,-8.0,34.0,39.0
1432166094.83,-8.0,33.0,38.0
1432166094.861,-14.0,27.0,47.0
1432166094.893,-21.0,25.0,47.0
1432166094.924,-25.0,27.0,39.0
1432166094.955,-35.0,18.0,31.0
1432166094.986,-41.0,26.0,50.0
1432166095.018,-39.0,42.0,52.0
1432166095.049,-42.0,58.0,36.0
1432166095.08,-40.0,37.0,31.0
1432166095.111,-42.0,33.0,41.0
1432166095.143,-35.0,60.0,36.0
1432166095.174,-33.0,47.0,33.0
1432166095.205,-32.0,26.0,45.0
1432166095.236,-34.0,39.0,36.0
1432166095.268,-37.0,35.0,37.0
1432166095.299,-38.0,18.0,36.0
1432166095.33,-37.0,14.0,52.0
1432166095.361,-38.0,19.0,56.0
1432166095.393,-43.0,7.0,45.0
1432166095.424,-36.0,14.0,44.0
1432166095.455,-37.0,25.0,49.0
1432166095.486,-37.0,13.0,51.0
1432166095.518,-35.0,2.0,52.0
1432166095.549,-26.0,7.0,56.0
1432166095.58,-30.0,15.0,65.0
1432166095.611,-27.0,9.0,59.0
1432166095.643,-23.0,18.0,61.0
1432166095.674,-23.0,28.0,61.0
1432166095.705,-24.0,20.0,61.0
1432166095.736,-26.0,16.0,56.0
1432166095.768,-29.0,17.0,49.0
1432166095.799,-31.0,17.0,49.0
1432166095.83,-32.0,21.0,50.0
1432166095.861,-32.0,23.0,48.0
1432166095.893,-34.0,20.0,52.0
1432166095.924,-33.0,32.0,46.0
1432166095.955,-34.0,31.0,48.0
1432166095.986,-33.0,31.0,47.0
1432166096.018,-30.0,31.0,50.0
1432166096.049,-30.0,35.0,57.0
1432166096.08,-30.0,31.0,52.0
1432166096.111,-31.0,28.0,42.0
1432166096.143,-29.0,29.0,39.0
1432166096.174,-29.0,36.0,39.0
1432166096.205,-31.0,37.0,38.0
1432166096.236,-33.0,22.0,38.0
1432166096.268,-28.0,41.0,46.0
1432166096.299,-29.0,52.0,47.0
1432166096.33,-29.0,33.0,42.0
1432166096.361,-29.0,39.0,38.0
1432166096.393,-27.0,37.0,40.0
1432166096.424,-26.0,32.0,50.0
1432166096.455,-20.0,43.0,40.0
1432166096.486,-20.0,40.0,41.0
1432166096.518,-25.0,53.0,31.0
1432166096.549,-20.0,46.0,39.0
1432166096.58,-13.0,48.0,41.0
1432166096.611,-13.0,45.0,39.0
1432166096.643,-12.0,43.0,49.0
1432166096.674,-10.0,44.0,48.0
1432166096.705,-13.0,45.0,36.0
1432166096.736,-15.0,50.0,47.0
1432166096.768,-14.0,53.0,53.0
1432166096.799,-10.0,46.0,43.0
1432166096.83,-10.0,41.0,48.0
1432166096.861,-12.0,46.0,52.0
1432166096.893,-12.0,39.0,55.0
1432166096.924,-16.0,28.0,43.0
1432166096.955,-19.0,39.0,47.0
1432166096.986,-19.0,41.0,50.0
1432166097.018,-17.0,32.0,47.0
1432166097.049,-10.0,41.0,50.0
1432166097.08,-5.0,49.0,52.0
1432166097.112,-2.0,47.0,43.0
1432166097.143,-1.0,45.0,38.0
1432166097.174,2.0,42.0,42.0
1432166097.205,9.0,63.0,37.0
1432166097.237,15.0,72.0,41.0
1432166097.268,18.0,45.0,43.0
1432166097.299,19.0,48.0,50.0
1432166097.33,19.0,48.0,46.0
1432166097.362,10.0,40.0,24.0
1432166097.393,10.0,81.0,12.0
1432166097.424,16.0,80.0,25.0
1432166097.455,14.0,52.0,36.0
1432166097.487,19.0,42.0,41.0
1432166097.518,20.0,38.0,41.0
1432166097.549,30.0,35.0,51.0
1432166097.58,32.0,40.0,41.0
1432166097.612,27.0,38.0,22.0
1432166097.643,34.0,44.0,39.0
1432166097.674,31.0,35.0,45.0
1432166097.705,27.0,37.0,25.0
1432166097.737,27.0,37.0,15.0
1432166097.768,25.0,40.0,15.0
1432166097.799,31.0,57.0,47.0
1432166097.83,29.0,42.0,22.0
1432166097.862,33.0,32.0,14.0
1432166097.893,44.0,30.0,21.0
1432166097.924,53.0,27.0,22.0
1432166097.955,55.0,13.0,28.0
1432166097.987,61.0,5.0,30.0
1432166098.018,64.0,8.0,28.0
1432166098.049,70.0,19.0,20.0
1432166098.08,74.0,25.0,14.0
1432166098.112,73.0,36.0,12.0
1432166098.143,67.0,38.0,11.0
1432166098.174,64.0,32.0,9.0
1432166098.205,63.0,25.0,9.0
1432166098.237,62.0,14.0,10.0
