#0:00:01.5#Pcd: No sabe bailar	
#0:00:03.0#Participante: Poquito	
#0:00:04.0#Investigador2: Mire él l se llama Luis 	
#0:00:05.4#Participante: Yo soy Luis	
#0:00:06.4#Pcd: No pero yo no lo conozco, ¿tiene que se llame Luis?	2
#0:00:09.5#Participante: (Incomprensible) no se	2
#0:00:12.8#Pcd: ¿Cómo que no sabe?	2
#0:00:15.2#Participante: Vamos a jugar	2
#0:00:17.1#Pcd: Noo, yo no quiero jugar	2
#0:00:20.5#Pcd: Yo quiero ver Antonio	2
#0:00:22.6#Participante:Aaaa	2
#0:00:23.0#Pcd:Onde está Antonio?	2
#0:00:25.3#Participante:  Aaa, no se	2
#0:00:26.4# Pcd:Cómo que no sabe,	2
#0:00:27.8#Participante: Risa (incomprensible)	2
#0:00:28.2#Pcd: Tiene que saber	2
#0:00:30.5#Participante: Híjole	2
#0:00:34.4# Cómo que  Híjole!!	2
#0:00:37.1#Pcd: Nooo nooo, ¿Y mi mamá se fue?	3
#0:00:41.4#Participante: Mmmmm, no se	3
#0:00:42.8#¿Uste nada sabe?!!	3
#0:00:44.2#Participante: Risa	3
#0:00:45.2#Pcd: Usss,  Entonces ¿Paqué lo tiene ahí?	3
#0:00:47.6# Participante: Para jugar!!!	3
#0:00:49.0#Pcd: Noo, me tiene que decir dónde está mi mamá	3
#0:00:53.6#Mmmmm, pues yo, yo pensba que íbamos a jugar!!!	-
#0:00:59.6#Pcd: Pero yo mo quiero jugar	3
#0:01:02.2#Pcd: Yo no quero jugar, porque quiero ver primero Antonio y a mi mamá	3
#0:01:07.6#Pcd: Aaaa y Lupita, lupita, lupita, lupita	3
#0:01:18.8#Participante:  Mejor vamos a jugar de... Incomprensible, es formar	3
#0:01:23.9#Pcd: Juegue uste, porque hoy es martes y tengo que irme con mi mamá y con Antonio	3
#0:01:34.6# Y como uste no sabe ni bailar, nii cantar, así es que pues no juego	3
#0:01:42.9#Participante: Risilla, aaaa	2
#0:01:43.2#Pcd: Yo juego con los que saben bailar, cantar	2
#0:01:49.8#Pcd: ¿Y uste, por qué no abe?	2
#0:01:52.3#Participante:  Pues, porque, no me enseñaron	2
#0:01:56.1#Pcd: Entonces porque no va a la escuela,en la escuela  se enseñan a  bailar y a cantar	2
#0:02:01.0#Participante: Aaaa	2
#0:02:04.4#Participante: Pero  vamos a jugar mejor, aa formar palabras con éstas letras (Incomprensible)	2
#0:02:16.2#Pcd:  Empiece uste 	1
#0:02:18.3#Participante: ¿Yo empiezo?	1
#0:02:19.1# Pcd: Sí, porque uste es el que va trabajar no yo	1
#0:02:22.5#Participante: Pero pos, no me gusta  jugar silito 	1
#0:02:26.3#Pcd: No ni amí me gusta jugar acompañada	1
#0:02:29.2#Participante: A pues (Incomprensible)	1
#0:02:33.4#Pcd: Mire aquí traigo un piojo	2
#0:02:36.6#Participante: ¿Así?	2
#0:02:37.1#Pcd: Sí, se lo voy a pegar 	2
#0:02:39.2#Participante: Nooo a mí no se me pegan 	2
#0:02:40.1# Pcd: Mire que grandote está, mírelo	2
#0:02:44.7#Pcd: Síii, tengo un piojo	2
#0:02:46.7#Participante: A pos igual podemos formar la palabra piojo (Incomprensible)	2
#0:02:51.0#Pcd:  Noo, pos fórmelo uste 	2
#0:02:55.0#Participante: Pero pues (Incomprensible)	2
#0:03:00.3#Pcd: No, no hay palabras para formar ese, ese  piojo	2
#0:03:04.6#Participante: Tiene que haber 	2
#0:03:07.0#Pcd: No, noo	2
#0:03:06.9#Participante: (Incomprensible)	
#0:03:09.1#Participante: Incomprensible	
#0:03:15.5# Pcd: ¿Y Antonio pa dónde se fue?	3
#0:03:18.3#Participante: mm no se	3
#0:03:20.0#Pcd:  ¿Cómo que no sabe?, si aquí hace ratito estuvo	3
#0:03:27.2#Pcd: Yo no quiero jugar	3
#0:03:30.0#Participante: Hay que hacer palabras	1
#0:03:31.8#Pcd: ¿Palabras?	1
#0:03:32.9#Participante: Sí	1
#0:03:33.7#Pcd: Pos ponga palabras	1
#0:03:35.1#Participante:¿Cuál es el que  sabe ?	1
#0:03:36.9#Pcd:¿A mí?, ninguna 	1
#0:03:37.8#Participante:Sí	1
#0:03:38.9#¿Y  a uste?	1
#0:03:39.4#Participante:  Ninguna, es una palabra podemos	1
#0:03:41.2#Pcd:Mmmm	1
#0:03:41.7#Participante:  hacer esa	1
#0:03:42.6#Pcd: ¿Ninguna?	1
#0:03:43.4#Participante: Sí	1
#0:03:44.1# Pcd: Nooo, noo, noo, uste no sabe	1
#0:03:47.9#Participante: ¿Y si?	1
#0:03:54.9#Pcd: Nooo, no hay letras pa formar	1
#0:03:57.8#Pcd: Nooo, mire	1
#0:03:59.5#Participante: ¿De veras ?	1
#0:04:00.5#Pcd: Noo hay letras	1
#0:04:05.4#Pcd: Uste no sabe, éste es una palabra	1
#0:04:09.4#Participante:  A síi	1
#0:04:09.8# Hoy es martes 	2
#0:04:12.1#Participante: Aaaaa	2
#0:04:12.5#Pcd: Ni te cases ni te embarques 	2
#0:04:15.6#Participante: Ay Dios!!  vamos a poner ésto por aquí	2
#0:04:17.4# Participante: Ahora otra palabra (Incomprensible)	2
#0:04:19.7#Pcd: Nooo, n, no  quiero, ponga uste otra	1
#0:04:24.6#Participante: ¿Yo?, ¿otra?	1
#0:04:26.4# Pcd: Una uste, y otra  yo	1
#0:04:28.5#Participante:  A ver, aquí está  la p, la l, aquí está la r, (incomprensible)y  la o, hí está  mire 	1
#0:04:41.0#Pcd: ¿Uste tiene perros ?	
#0:04:42.8#Participante: Así es	
#0:04:43.5#Pcd:¿Cuántos tiene ?	
#0:04:44.8#Participante: Dos	
#0:04:45.7#Pcd:Yo  tengo tres, le gano con uno	
#0:04:48.8#Participante: Sí me ganó (incomprensible)	
#0:04:52.9#Pcd:  Sí, pero yo quiero muchos mis perros 	1
#0:04:57.1#Pcd: Poque cuando  estoy enferma, me cuidan	1
#0:05:00.8#Participante: pero no puede poner una palabra más o menos así	1
#0:05:03.9#Pcd: Pos ya formó perro, mire, que no ve?	1
#0:05:07.7#Participante: Pero ahora usted	1
#0:05:08.7#Pcd: No pos ya	1
#0:05:09.2#Pcd: ésta  	1
#0:05:09.5#Participante: Incomprensible	1
#0:05:10.1#Pcd: Ésta yo la formé, ésta no la formó uste	1
