halfRecoveryValue,risingTimeValue,risingTimeIndex,peakIndex,peakValue,halfRecoveryIndex,distanceToPrevPeak
None,0.3275005214,182,224,1.0705777261,None,None
None,1.0648722363,226,230,1.308266291,None,6
None,1.272772004,233,239,1.5950530248,None,9
None,1.5618249811,242,250,1.832784363,None,11
None,1.6616507111,273,277,1.9421908473,None,27
1.9937158235,1.8702275434,279,283,2.127402286,288,6
2.0261682494,1.7960772223,321,325,2.2747553744,330,42
2.2545726522,2.0283011856,356,360,2.5754498229,363,35
2.4231116661,2.2441329588,364,369,2.7435413186,372,9
2.3882290826,1.8807003814,461,470,2.9140607744,479,101
2.2286414116,1.7769463741,566,571,2.725672905,581,101
1.7458637372,1.3805130713,816,829,2.1272806746,841,258
1.112695579,0.9714350463,1024,1029,1.2571783325,1052,200
None,0.8173939186,1210,1216,1.0610875715,None,187
1.2406248942,0.9546933496,1251,1262,1.5340371672,1289,46
1.2228788107,0.9036336466,1439,1445,1.5424691579,1479,183
None,0.8372945954,1637,1659,1.9253373949,None,214
None,1.857266346,1661,1664,2.0897989276,None,5
None,1.5033672716,1728,1733,2.3595287451,None,69
2.1528798282,1.7462889498,1755,1763,2.5913084716,1767,30
2.1285933814,1.6785626669,1848,1853,2.6298361119,1862,90
None,1.8841469052,1881,1894,3.0332502827,None,41
2.9467618907,2.6176167326,1904,1909,3.5367423542,1912,15
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,MaxAmplitude,3.5367423542,,,,
,minAmplitude,1.0610875715,,,,
