halfRecoveryValue,risingTimeValue,risingTimeIndex,peakIndex,peakValue,halfRecoveryIndex,distanceToPrevPeak
None,1.055989004,521,538,1.238729848,None,None
None,1.238729848,538,542,1.378459538,None,4
None,1.378459538,542,551,1.564037838,None,9
None,1.544833249,553,592,1.974939877,None,41
None,1.622843168,812,821,1.796593293,None,229
None,1.775373386,856,863,1.943833987,None,42
None,1.900980065,875,881,2.017208102,None,18
None,2.017208102,881,889,2.095628565,None,8
None,2.088922254,893,898,2.299017524,None,9
None,2.299017524,898,903,2.450904761,None,5
None,2.450904761,903,909,2.617791898,None,6
None,2.551046196,939,945,2.788460344,None,36
None,2.788460344,945,957,3.405890925,None,12
None,3.367299849,972,978,3.504985092,None,21
3.520642592,3.46505767,981,984,3.592690858,986,6
None,3.498132214,987,992,3.654341699,None,8
3.690785756,3.630338446,994,997,3.762468537,1000,5
None,3.632184394,1004,1013,4.056085527,None,16
4.062373346,4.03741309,1014,1017,4.209985376,1019,4
None,4.005626621,1021,1040,4.650696481,None,23
None,4.600847824,1049,1062,5.068864433,None,22
None,4.967730651,1065,1071,5.226428215,None,9
5.277428282,5.1547999,1073,1078,5.405549739,1088,7
None,5.273613629,1089,1108,5.712269022,None,30
None,5.645805103,1110,1114,6.040812722,None,6
None,5.894871587,1125,1136,6.785880389,None,22
None,6.474637431,1152,1160,6.709909336,None,24
6.694790851,6.60581802,1181,1185,6.78463077,1193,25
6.729165789,6.524043855,1203,1208,6.988642827,1213,23
6.928824515,6.630728157,1247,1251,7.270621576,1257,43
None,7.036599314,1265,1278,7.537425562,None,27
7.52979887,7.290536567,1281,1290,7.884456054,1293,12
7.913367674,7.860963734,1310,1313,8.010234114,1314,23
8.099531038,7.809615613,1325,1330,8.409195205,1332,17
None,8.142614227,1358,1364,8.532394378,None,34
None,8.417980454,1374,1406,9.033711322,None,42
8.946533146,8.873485393,1409,1412,9.100577129,1414,6
9.285502315,8.881795723,1416,1422,9.690794143,1424,10
9.286436647,9.210346398,1429,1435,9.53606267,1437,13
9.375100756,9.286436647,1437,1441,9.615937552,1443,6
9.526786162,9.334406252,1447,1452,9.768731923,1454,11
None,9.497571031,1455,1461,10.14364011,None,9
9.959519399,9.876352333,1463,1466,10.21545005,1469,5
None,9.854319476,1475,1501,10.49523093,None,35
10.64625456,10.37676822,1510,1515,10.97659067,1517,14
None,10.64625456,1517,1522,11.33315309,None,7
None,10.72527372,1535,1545,11.28919701,None,23
None,11.16794217,1547,1550,11.38854332,None,5
None,11.28837752,1552,1568,11.77549211,None,18
11.78600447,11.68151257,1574,1577,12.03814205,1579,9
None,11.74095629,1580,1585,12.26924168,None,8
None,11.8363994,1594,1598,12.32333539,None,13
12.23458466,12.1364287,1600,1603,12.43048597,1605,5
12.47080071,12.15998801,1608,1623,12.86589539,1625,20
12.70313911,12.42216803,1648,1655,13.12734985,1657,32
12.77576463,12.52003667,1659,1675,13.28360933,1677,20
12.90470422,12.66136297,1678,1682,13.38665306,1684,7
12.97216713,12.7364069,1708,1717,13.51235877,1719,35
13.24781703,12.93592202,1744,1766,13.77440388,1768,49
None,13.15782492,1780,1799,13.69690034,None,33
None,,,,,,
,,,,,,
,,,,,,
,,,,,,
MaxAmplitude,13.77440388,,,,,
minAmplitude,1.238729848,,,,,
