halfRecoveryValue,risingTimeValue,risingTimeIndex,peakIndex,peakValue,halfRecoveryIndex,distanceToPrevPeak
None,0.236592867,442,462,0.311053712,None,None
None,0.311053712,462,490,0.37780623,None,28
None,0.38656724,502,507,0.460447275,None,17
0.568083536,0.487097913,562,569,0.649697727,585,62
None,0.544541399,596,603,0.78373496,None,34
None,0.672917585,639,644,0.840009372,None,41
0.859621557,0.796806782,654,658,0.925657653,661,14
0.904063067,0.779634208,692,699,1.033257229,710,41
None,0.645690651,918,927,1.189877704,None,228
None,1.116840287,940,944,1.488892371,None,17
1.58520566,1.431262414,947,952,1.749001594,958,8
1.082714626,0.885613649,1059,1066,1.295203372,1081,114
1.312196727,0.9742257,1101,1108,1.659209164,1129,42
1.478925697,1.305779863,1160,1165,1.659768922,1170,57
1.896981933,1.419238735,1174,1179,2.400990801,1193,14
None,0.916331545,1502,1507,1.061994306,None,328
None,0.921502128,1552,1564,2.00630133,None,57
1.840987816,1.634891619,1575,1582,2.069267579,1586,18
None,,,,,,
,,,,,,
MaxAmplitude,2.400990801,,,,,
minAmplitude,0.311053712,,,,,
