S1,2015-3-23 16:36:34.177,2015-3-23 16:36:40.938,1,awn_yes
S1,2015-3-23 16:36:42.450,2015-3-23 16:36:48.283,2,awn_no
S1,2015-3-23 16:36:50.713,2015-3-23 16:36:56.667,3,awn_no
S1,2015-3-23 16:36:57.785,2015-3-23 16:37:3.860,4,awn_no
S1,2015-3-23 16:37:6.153,2015-3-23 16:37:12.330,5,awn_yes
S1,2015-3-23 16:37:13.745,2015-3-23 16:37:26.148,6,awn_notsure
S1,2015-3-23 16:37:28.641,2015-3-23 16:37:33.778,7,awn_no
S1,2015-3-23 16:37:37.529,2015-3-23 16:37:43.842,8,awn_yes
S1,2015-3-23 16:37:46.897,2015-3-23 16:37:54.543,9,awn_yes
S1,2015-3-23 16:37:58.1,2015-3-23 16:38:6.572,10,awn_yes
S1,2015-3-23 16:38:10.241,2015-3-23 16:38:16.474,11,awn_no
S1,2015-3-23 16:38:19.609,2015-3-23 16:38:26.322,12,awn_no
S1,2015-3-23 16:38:29.401,2015-3-23 16:38:35.930,13,awn_yes
S1,2015-3-23 16:38:39.497,2015-3-23 16:38:45.970,14,awn_yes
S1,2015-3-23 16:38:49.609,2015-3-23 16:38:56.266,15,awn_yes
S1,2015-3-23 16:39:1.993,2015-3-23 16:39:7.938,16,awn_yes
S1,2015-3-23 16:39:11.289,2015-3-23 16:39:16.530,17,awn_no
S1,2015-3-23 16:39:18.985,2015-3-23 16:39:25.27,18,awn_no
S1,2015-3-23 16:39:27.697,2015-3-23 16:39:34.434,19,awn_no
S1,2015-3-23 16:39:36.265,2015-3-23 16:39:43.403,20,awn_yes
