11,22,t
31,58,t
61,68,t
73,83,t
112,117,t
121,127,t
139,141,t
146,150,t
154,158,t
162,174,t
342,359,t
379,385,t
394,416,t
420,426,t
439,444,t
447,459,t
471,475,t
483,494,t
498,501,t
562,587,t
600,613,t
629,686,t
700,724,t
759,811,t
825,830,t
834,840,t
852,860,t
874,885,t
888,921,t
939,952,t
956,966,t
1001,1010,t
1016,1018,t
1081,1083,t
1123,1133,t
1141,1178,t
1187,1200,t
4,10,w
23,30,w
59,60,w
69,72,w
84,111,w
118,120,w
128,138,w
142,145,w
151,153,w
159,161,w
175,341,w
360,378,w
386,393,w
417,419,w
427,438,w
445,446,w
460,470,w
476,482,w
495,497,w
502,513,w
557,561,w
588,599,w
614,628,w
687,699,w
725,758,w
812,824,w
831,833,w
841,851,w
861,873,w
886,887,w
922,938,w
953,955,w
967,1000,w
1011,1015,w
1019,1080,w
1084,1122,w
1134,1140,w
1179,1186,w
528,556,e
